otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0009	4.459069144262878	0.10757848851222086	2	Kruskal-Wallis rank sum test	0.009931947765311753	3.0654159769480714e-5	6.897185948133162e-5	0.2797540160089029
Otu0035	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0041	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	0.0010509997635250532	0	0	0.2797540160089029
Otu0056	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.2797540160089029
Otu0110	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0111	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	2.3647494679313697e-4	0	0	0.2797540160089029
Otu0116	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0123	4.324985180794308	0.1150380207092201	2	Kruskal-Wallis rank sum test	2.1019995270501064e-4	0	2.2990619827110538e-5	0.2797540160089029
Otu0126	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0134	4.5136148382004695	0.10468416448562082	2	Kruskal-Wallis rank sum test	2.8902493496938965e-4	0	2.2990619827110538e-5	0.2797540160089029
Otu0136	4.324985180794308	0.1150380207092201	2	Kruskal-Wallis rank sum test	6.568748522031582e-4	0	2.2990619827110538e-5	0.2797540160089029
Otu0143	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.5764996452875796e-4	0	0	0.2797540160089029
Otu0145	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.5764996452875796e-4	0	0	0.2797540160089029
Otu0146	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	3.415749231456423e-4	0	0	0.2797540160089029
Otu0148	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0164	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0168	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	6.831498462912845e-4	0	0	0.2797540160089029
Otu0175	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0.2797540160089029
Otu0177	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.3137497044063165e-4	0	0	0.2797540160089029
Otu0197	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0198	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	3.1529992905751593e-4	0	0	0.2797540160089029
Otu0200	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0201	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0202	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0206	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.5764996452875796e-4	0	0	0.2797540160089029
Otu0209	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	6.30599858115032e-4	0	0	0.2797540160089029
Otu0210	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	3.15299929057516e-4	0	0	0.2797540160089029
Otu0214	4.211618257261424	0.12174712532026541	2	Kruskal-Wallis rank sum test	2.627499408812633e-4	6.130831953896143e-5	0	0.2797540160089029
