otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0076	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0094	2.5213231904103344	0.28346642442107256	2	Kruskal-Wallis rank sum test	2.1457911838636504e-4	0	1.3794371896266324e-4	0.3547202246840415
Otu0096	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0120	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0124	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0147	3.244099741472769	0.1974934478298421	2	Kruskal-Wallis rank sum test	3.065415976948072e-4	2.627499408812633e-5	0	0.3547202246840415
Otu0173	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0197	3.0592743500193973	0.21661424612171606	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	2.2990619827110536e-4	0.3547202246840415
Otu0203	3.093149540517967	0.21297621838964031	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	2.627499408812633e-5	0	0.3547202246840415
Otu0215	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	9.196247930844216e-5	0	0	0.3547202246840415
Otu0225	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0230	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0231	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0242	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	2.1457911838636504e-4	0	0	0.3547202246840415
Otu0248	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	9.196247930844216e-5	0	0	0.3547202246840415
Otu0273	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0277	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0280	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0322	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	9.196247930844216e-5	0	0	0.3547202246840415
Otu0348	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0354	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0365	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0388	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0400	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0408	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0410	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0420	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0423	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0432	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	9.196247930844216e-5	0	0	0.3547202246840415
Otu0434	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	9.196247930844216e-5	0	0	0.3547202246840415
Otu0444	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0498	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0545	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0549	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0586	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.3547202246840415
Otu0688	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0696	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0736	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0789	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0830	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.3547202246840415
Otu0844	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu0897	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1014	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.3547202246840415
Otu1052	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.3547202246840415
