otu	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Lachnospiraceae (OTU 67)	134	0.6542043605984195	Wilcoxon rank sum test with continuity correction	two.sided	8.65529217020632e-5	2.4523327815584572e-5	0.766998215874009
Lachnospiraceae (OTU 96)	134	0.6537402758036285	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	1.2261663907792286e-5	0.766998215874009
Pseudomonadaceae (OTU 579)	134	0.6537402758036285	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	1.2261663907792286e-5	0.766998215874009
Porphyromonadaceae (OTU 10)	135	0.6755295447144458	Wilcoxon rank sum test with continuity correction	two.sided	5.51774875850653e-4	2.4523327815584572e-5	0.7851772384689335
Lactobacillus (OTU 49)	118	0.6792061513545478	Wilcoxon rank sum test with continuity correction	two.sided	0.0073137218838243406	0.006523205198945497	0.7851772384689335
Clostridium (OTU 443)	133.5	0.6812567216127511	Wilcoxon rank sum test with continuity correction	two.sided	7.57338064893053e-5	6.130831953896144e-5	0.7851772384689335
Lachnospiraceae (OTU 149)	133	0.7089443345591961	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	6.130831953896144e-5	0.8079589064250056
Bacteroides (OTU 224)	133	0.7089443345591961	Wilcoxon rank sum test with continuity correction	two.sided	6.166895671272004e-4	4.536815645883146e-4	0.8079589064250056
Lachnospiraceae (OTU 17)	121	0.7393878598037562	Wilcoxon rank sum test with continuity correction	two.sided	4.5440283893583185e-4	0.002121267856048066	0.8365028354718387
Lachnospiraceae (OTU 27)	133.5	0.7421912412764843	Wilcoxon rank sum test with continuity correction	two.sided	5.40955760637895e-5	3.678499172337686e-5	0.8365028354718387
