key	value	rank	sign
Otu001	-0.18303957071291838	28	negative
Otu040	-0.1786121262520151	29	negative
Otu084	-0.1786121262520151	30	negative
Otu021	0.15003416940922892	31	positive
Otu024	0.10226456877569307	32	positive
Otu028	0.0972477948184477	33	positive
Otu018	0.08910549039218293	34	positive
Otu007	0.08125456776158822	35	positive
Otu016	0.0792520229593594	36	positive
Otu006	-0.05422062465609533	37	negative
Otu005	0.04740406409363527	38	positive
Otu027	-0.03593310875672754	39	negative
Otu022	-0.0012423617243030596	40	negative
Otu030	0	41	zero
Otu031	0	42	zero
Otu033	0	43	zero
Otu035	0	44	zero
Otu036	0	45	zero
Otu039	0	46	zero
Otu042	0	47	zero
Otu043	0	48	zero
Otu044	0	49	zero
Otu045	0	50	zero
Otu046	0	51	zero
Otu047	0	52	zero
Otu048	0	53	zero
Otu049	0	54	zero
Otu050	0	55	zero
Otu051	0	56	zero
Otu052	0	57	zero
Otu053	0	58	zero
Otu054	0	59	zero
Otu055	0	60	zero
Otu056	0	61	zero
Otu058	0	62	zero
Otu060	0	63	zero
Otu061	0	64	zero
Otu062	0	65	zero
Otu063	0	66	zero
Otu065	0	67	zero
Otu068	0	68	zero
Otu069	0	69	zero
Otu070	0	70	zero
Otu071	0	71	zero
Otu073	0	72	zero
Otu074	0	73	zero
Otu076	0	74	zero
Otu079	0	75	zero
Otu080	0	76	zero
Otu082	0	77	zero
Otu083	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu029	0.6350458261789527	1	positive
Otu010	0.45391871699844355	2	positive
Otu020	-0.41158860227105226	3	negative
Otu085	-0.4045982962141737	4	negative
Otu026	0.3828786861183499	5	positive
Otu012	-0.3750835319777504	6	negative
Otu008	-0.354574124738638	7	negative
Otu013	-0.34049801082709485	8	negative
Otu002	-0.3326075263617302	9	negative
Otu018	0.3309059478181177	10	positive
Otu009	0.32448705589624105	11	positive
Otu021	0.3223144183503276	12	positive
Otu019	0.30712701719034824	13	positive
Otu066	-0.30387746481126326	14	negative
Otu034	-0.2770273227785719	15	negative
Otu041	-0.2770273227785719	16	negative
Otu015	0.2733810125993374	17	positive
Otu001	-0.27021512840730744	18	negative
Otu025	-0.2690856296359352	19	negative
Otu039	-0.2684030834361934	20	negative
Otu017	-0.2568968380224206	21	negative
Otu007	0.2548664528192629	22	positive
Otu006	-0.2470139101834087	23	negative
Otu027	-0.2390448369019843	24	negative
Otu032	0.2379526577925407	25	positive
Otu038	0.2379526577925407	26	positive
Otu023	-0.22616040126515866	27	negative
Otu036	-0.22616040126515866	28	negative
Otu054	-0.22616040126515866	29	negative
Otu016	-0.21849704582568796	30	negative
Otu011	-0.213987673690604	31	negative
Otu024	0.19410826045032759	32	positive
Otu040	-0.16684764405927074	33	negative
Otu084	-0.16684764405927074	34	negative
Otu005	-0.15893087833870778	35	negative
Otu003	0.14582624876848682	36	positive
Otu022	-0.12567703839423577	37	negative
Otu004	0.10524888353653551	38	positive
Otu028	0.08848226471780862	39	positive
Otu037	-0.0667390576237083	40	negative
Otu014	-0.035917630331177265	41	negative
Otu030	0	42	zero
Otu031	0	43	zero
Otu033	0	44	zero
Otu035	0	45	zero
Otu042	0	46	zero
Otu043	0	47	zero
Otu044	0	48	zero
Otu045	0	49	zero
Otu046	0	50	zero
Otu047	0	51	zero
Otu048	0	52	zero
Otu049	0	53	zero
Otu050	0	54	zero
Otu051	0	55	zero
Otu052	0	56	zero
Otu053	0	57	zero
Otu055	0	58	zero
Otu056	0	59	zero
Otu058	0	60	zero
Otu060	0	61	zero
Otu061	0	62	zero
Otu062	0	63	zero
Otu063	0	64	zero
Otu065	0	65	zero
Otu068	0	66	zero
Otu069	0	67	zero
Otu070	0	68	zero
Otu071	0	69	zero
Otu073	0	70	zero
Otu074	0	71	zero
Otu075	0	72	zero
Otu076	0	73	zero
Otu079	0	74	zero
Otu080	0	75	zero
Otu082	0	76	zero
Otu083	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu012	-2.062487603742943	1	negative
Otu051	1.9893820199400793	2	positive
Otu006	1.956114920939866	3	positive
Otu015	1.6968149880833068	4	positive
Otu013	-1.6630309835637866	5	negative
Otu002	-1.6223357748894152	6	negative
Otu028	-1.494086727745145	7	negative
Otu022	1.3784260742790544	8	positive
Otu016	-1.3516415578182108	9	negative
Otu066	-1.1817515375772119	10	negative
Otu054	-1.1033506581453651	11	negative
Otu014	1.0861319264891158	12	positive
Otu034	-1.06307294138358	13	negative
Otu041	-1.06307294138358	14	negative
Otu026	1.044234587835451	15	positive
Otu025	-0.9564840847801319	16	negative
Otu017	-0.8757938966218815	17	negative
